G_CODE,G_FAMILY,G_ISO_CODE_2,G_LATITUDE,G_LONGITUDE,G_NAME
aji,106869-106871-106878-105320-105523-105751-105959-41149-106363-106530-41203,--,-21.3029,165.468,Ajië
ajn,--,--,--,--,Andajin
ajp,104949-105012-105129-105287-105476-105688-24989-24991,--,31.5601,38.0837,"Arabic, South Levantine Spoken"
ajt,104949-105012-105129-105287-105476-105688-105889-24919,--,31.75,35.25,"Arabic, Judeo-Tunisian"
aju,104949-105012-105129-105287-105476-105688-105889-24950,--,33.5,-7.5,"Arabic, Judeo-Moroccan"
ajw,104949-105011-105127-105285-25470-25475,--,10.21,9.89205,Ajawa
ajz,105000-105104-105253-27334-27339,--,26.024,91.482,Amri Karbi
aka,104955-105023-105145-105310-105505-105731-105938-106136-29282,ak,6.34756,-1.33254,Akan
akb,106869-106871-106878-42740-42767-105773-42768-106199-42769,--,1.66127,99.6025,Batak Angkola
akc,35223,--,-0.7489,133.166,Mpur
akd,104955-105023-105143-32043-32044-32110,--,5.58316,8.10047,Ukpet-Ehom
ake,104960-26821-26822-26823-26831-26832,--,6.16277,-60.862,Akawaio
akf,104955-105023-105143-105304-31392-31393,--,7.32586,8.01629,Akpa
akg,106869-106871-106878-105320-105522-105747-105953-106153-106347-107591-40728,--,-9.63425,119.605,Anakalangu
akh,104989-107419-105209-43370-105589-105825-43371,--,-6.13347,143.478,Angal Heneng
aki,104979-105064-28781-28785-28786,--,-5.13467,144.765,Aiome
akj,43540-43541-43542-43546-43547,--,13.1525,92.9504,Aka-Jeru
akk,104949-105012-24747-24749,--,--,--,Akkadian
akl,106869-106871-106878-105322-105525-105754-105971-39888-39890,--,11.5543,122.354,Inakeanon
akm,43540-43541-43542-43543-43544,--,12.3629,92.8011,Aka-Bo
ako,104960-26772-26782-26784-26788,--,3.19607,-55.6294,Akurio
akp,104955-105023-105145-105309-29250-29251-29253,--,7.23811,0.44362,Siwu
akq,104998-26703-26705,--,-3.57026,141.784,Ak
akr,106869-106871-106878-105320-105523-105751-105958-106160-106358-106525-41403,--,-15.6314,166.942,Araki
aks,104955-105023-105146-105312-105508-32858-105945-32879-106333-106495-106620-106707-32948-32949,--,8.8858,1.37035,Akaselem
akt,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-42231-42233-106788-106824-42259,--,-6.22711,150.182,Akolet
aku,104955-105023-105143-105303-105497-105716-31727,--,6.85716,9.96261,Akum
akv,35856-35865-35866-35896-35897,--,42.4003,46.3037,Akhvakh
akw,104955-105023-105143-105302-105490-105704-105906-106099-29714,--,-0.39897,15.4623,Akwa
akx,43540-43541-43549-43550,--,12.8494,92.8227,Aka-Kede
aky,43540-43541-43549-43551-43552,--,12.7325,92.7866,Aka-Kol
akz,26717-26718-26721,--,30.7674,-94.6285,Alabama
ala,104955-105023-105143-105304-31365-105721-105926-31378,--,8.34986,8.52085,Alago
alb,--,--,41.326,19.816,Albanian
alc,35993-35995-35996,--,-49.703,-75.3756,Qawasqar
ald,104955-105023-105145-105310-29238-29240,--,5.22371,-4.42647,Alladian
ale,34754-34797,--,52.1228,-174.29,Aleut
alf,104955-105023-105143-105302-105490-32004-32020,--,6.59423,9.00394,Alege
alh,104982-105068-34733,--,-15.5458,134.282,Alawa
ali,104989-105080-105214-42969,--,-5.18742,145.368,Amaimon
alj,106869-106871-106878-39574-39583,--,13.0982,121.022,Alangan
alk,104956-105024-35706,--,15.5565,106.597,Alak
all,104968-105043-105163-105331-105542-105779-105998-106929-106937-106390-33801,--,11.0803,76.6593,Allar
alm,106869-106871-106878-105320-105523-105751-105958-106160-106358-106525-41402,--,-15.5169,166.95,Amblong
aln,104971-36587-36603,--,42.317,21.3837,"Albanian, Gheg"
alo,106869-106871-106878-105320-105522-105746-40939-106147-106340-106505-106628-40990-40991,--,-3.76522,127.956,Larike-Wakasihu
alp,106869-106871-106878-105320-105522-105746-40939-106147-106341-106506-106629-40952-40953,--,-3.11477,128.394,Alune
alq,104950-105013-106877-23870-23871-105482-23879,--,47.3876,-77.5258,Algonquin
alr,28824-28825-28838,--,60.3844,165.653,Alutor
als,104971-36587-36588-36594,--,41.0,20.0,"Albanian, Tosk"
alt,105005-105120-23916-23939-23940,--,50.1347,86.8705,"Altai, Southern"
alu,106869-106871-106878-105320-105523-105751-41589-41620-106361-106527-106646-41625,--,-9.20699,161.158,’Are’are
alw,104949-25700-105128-25715-105474-105686-105887-25727,--,7.39014,38.1732,Alaba-K’abeena
alx,104988-105368-105582-24297,--,-3.46843,142.532,Amol
aly,104993-105084-105220-43982-43994,--,-21.0427,136.835,Alyawarr
alz,23478-23584-23585-23609-23610-23611,--,2.36213,31.0016,Alur
ama,105004-105119-105269-105449-24412,--,-3.79772,-48.6613,Amanayé
amb,104955-105023-105143-105302-105490-105705-105911-31095,--,7.07637,10.7798,Ambo
amc,104994-105095-105236-43618-43620,--,-10.2012,-72.3208,Amahuaca
ame,104952-23799-23803,--,-10.5454,-75.315,Yanesha’
amf,43672-43674-43675-43676,--,5.06515,36.5176,Hamer-Banna
amg,107386-28714,--,-11.9876,132.878,Amurdak
amh,104949-105012-105129-105288-25034-25035-25036-25038,am,11.7082,39.5435,Amharic
ami,106869-106871-42780-42794-42803,--,23.0917,121.348,Amis
amj,34379-34381,--,14.7528,20.8912,Amdang
amk,106869-106871-106878-105320-105523-42369-107577-107584-106168-106372-106541-42383,--,-1.88126,136.526,Ambai
aml,104956-105025-35770-35793,--,25.1154,91.6266,War-Jaintia
amm,44657-44659-44661,--,-4.20192,141.658,Ama
amn,44372-44373-44383,--,-3.51516,141.178,Amanab
amo,104955-105023-105143-105306-105499-105723-31594-106128-31644,--,10.3229,8.65405,Amo
amp,104998-105099-26681-26682,--,-4.66307,143.316,Alamblak
amq,106869-106871-106878-105320-105522-105746-40939-106147-106340-106504-106627-106713-106777-106817-41003-41004-41005,--,-3.32028,128.939,Amahai
amr,24200-24206,--,-12.4931,-70.5533,Amarakaeri
ams,34806-34807-107630-105177-34808-34815-34816,--,28.1955,129.285,"Amami-Oshima, Southern"
amt,36469-36470,--,-4.12165,141.339,Amto
amu,104992-39084-39085-39086-39087,--,16.7723,-98.1895,"Amuzgo, Guerrero"
amv,106869-106871-106878-105320-105522-105746-105950-40938,--,-3.85919,127.196,Ambelau
amw,104949-105012-105129-105287-105477-105689-105890-24867,--,33.8162,36.484,Western Neo-Aramaic
amx,104993-105084-105220-43982-43990,--,-22.2853,133.286,Anmatyerre
amy,38981-38999-39000-39002,--,-13.5573,130.04,Ami
amz,104993-105089-44178-44179-44180,--,-11.0018,142.273,Atampaya
ana,38914,--,2.74999,-76.0,Andaqui
anb,26734-106983-106987-26740,--,-3.29664,-76.6056,Andoa
anc,104949-105011-105127-25536-105471-25595-25613,--,9.32042,9.46146,Ngas
and,106869-106871-106878-105320-105523-42369-107577-107584-106168-106372-106541-42404,--,-1.7543,135.866,Ansus
ane,106869-106871-106878-105320-105523-105751-105959-41149-106363-41194,--,-21.7034,165.996,Xârâcùù
anf,104955-105023-105145-105308-29149-29151,--,7.60385,0.41962,Animere
ang,104971-105053-105172-105343-105554-105787-106006-36800,--,--,--,Old English
anh,104989-105080-105215-105394-106909-43008-43010,--,-5.04271,144.886,Nend
ani,35856-35865-35866-35896-35902,--,42.8078,46.2919,Andi
anj,104979-105064-28781-28785-28787,--,-4.98449,144.801,Anor
ank,104949-105011-105127-25536-105471-25595-25616-25622,--,8.74455,9.72453,Goemai
anl,105000-27231-27233,--,23.3394,98.5945,"Chin, Anu-Hkongso"
anm,105000-105104-105252-105431-27443,--,24.0506,94.2806,Anal
ann,104955-105023-105143-32043-32113-105720-32127,--,4.62851,7.81985,Obolo
ano,28487,--,-0.53751,-72.0869,Andoque
anp,104971-105055-105173-105344-105556-105790-37800,--,26.0047,85.534,Angika
anq,34403-34404,--,11.6089,92.658,Jarawa
anr,104971-105055-105173-105348-105568-105806-37916,--,19.4734,77.7156,Andh
ans,104966-33696-33698,--,6.24999,-76.05,Anserma
ant,104993-105085-105222-105400-43901,--,-27.1152,134.838,Antakarinya
anu,23478-23584-23585-23589-23597,--,7.57714,34.0267,Anuak
anv,104955-105023-105143-105302-105490-31083-105903-31088,--,5.97237,9.39989,Denya
anw,104955-105023-105143-32043-32113-105719-32138-32146,--,4.94832,7.57969,Anaang
anx,106869-106871-106878-105320-105523-105751-41662-41670-106350-41687-41700,--,-2.05894,147.085,Andra-Hus
any,104955-105023-105145-105310-105505-105731-105938-29296-29304-106486-29309,--,6.31781,-3.30532,Anyin
anz,36516,--,-5.54836,148.993,Anem
aoa,104971-105056-105175-105353-107153-105354-105575-105816-106032-106226-106398-106555-106670-106750-38837,--,0.11438,6.59486,Angolar
aob,107620-34363-34364,--,-8.42448,142.842,Abom
aoc,104960-26821-26822-26823-26824,--,4.97031,-61.4033,Pemon
aod,104979-105064-28788-28791,--,-4.48734,144.767,Andarum
aoe,104989-107419-105209-43370-105589-105825-43376,--,-6.23296,143.583,Angal Enen
aof,104988-105368-105582-24306,--,-3.48707,142.495,Bragat
aog,104979-28733-28734,--,-4.07758,144.028,Angoram
aoh,107392-107471-28383,--,2.03332,-76.0,Arma
aoi,24693-105047-107141-44547,--,-13.999,136.641,Anindilyakwa
aoj,104988-107134-105076-105196-24243,--,-3.57932,142.955,Mufian
aok,106869-106871-106878-105320-105523-105751-105959-41149-106363-106530-41204,--,-21.3183,165.161,Arhö
aol,106869-106871-106878-105320-105522-40774-105951-106149-106343-106509-40781,--,-8.20382,124.264,Alor
aom,24580-24581-24597,--,-9.03136,148.107,Ömie
aon,104988-107134-105076-24237,--,-3.65508,142.859,"Arapesh, Bumbita"
aor,106869-106871-106878-105320-105523-105751-105958-106160-106358-106523-41409,--,-15.5753,167.166,Aore
aos,44372-44384-44385,--,-2.9408,140.749,Taikat
aot,105000-106873-105248-28169-28170,--,25.346508,90.658722,Atong
aou,105001-105110-105257-105437-105653-105857-107583-104550,--,26.8,105.85,A’ou
aox,104952-23732-107629-23784-23785,--,2.481,-60.286,Atorada
aoz,106869-106871-106878-105320-105522-105749-40886-106157-40896,--,-9.77284,124.144,Uab Meto
apb,106869-106871-106878-105320-105523-105751-41589-41620-106361-41628,--,-9.60258,161.467,Sa’a
apc,104949-105012-105129-105287-105476-105688-24989-24994,--,34.1709,36.0468,"Arabic, North Levantine Spoken"
apd,104949-105012-105129-105287-105476-105688-24889-106071-24899-24906,--,17.8021,33.3179,"Arabic, Sudanese Spoken"
ape,104988-107134-105076-105196-105366-24234,--,-3.47169,143.111,Bukiyip
apf,106869-106871-106878-106888-105772-106999-107008-106962,--,--,--,"Agta, Pahanan"
apg,106869-106871-106878-105321-42491-42492,--,-0.79259,116.349,Ampanang
aph,105000-105103-105251-105429-105648-105851-28027-28029,--,26.8794,87.3296,Athpariya
api,105004-105119-105270-24381,--,-7.84711,-57.91,Apiaká
apj,44798-44799-44801-44802-105485-105694-44804,--,36.8079,-107.007,"Apache, Jicarilla"
apk,44798-44799-44801-44802-44807,--,34.9077,-98.2461,"Apache, Kiowa"
apl,44798-44799-44801-44802-105485-105694-44808,--,33.2748,-105.819,"Apache, Lipan"
apm,44798-44799-44801-44802-105485-105695-44806,--,33.1291,-105.566,"Apache, Mescalero-Chiricahua"
apn,104990-25922-25923-25939,--,-6.10774,-47.6315,Apinayé
apo,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-42231-42233-106788-42246-42247,--,-6.29002,149.96,Ambul
app,106869-106871-106878-105320-105523-105751-105958-106159-106356-41480,--,-15.8559,168.189,Apma
apq,43540-43541-43549-43554,--,12.241,92.7965,A-Pucikwar
apr,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-106651-42322,--,-5.31671,147.103,Arop-Lokep
